activity_1,activity_2,activity_3,activity_4,activity_5,activity_6,activity_7,activity_8,activity_9,activity_10,next_activity,org:resource
27,26,27,26,27,26,27,26,27,26,27,NONE
9,13,9,13,9,13,9,13,9,13,9,batch_00
15,15,15,15,15,15,15,15,1,1,1,batch_01
9,14,14,14,14,14,14,14,14,14,9,batch_02
9,9,9,9,9,9,9,9,9,9,9,batch_03
9,9,9,9,9,9,9,9,9,9,9,batch_04
14,14,14,14,14,14,14,14,14,14,14,batch_05
9,14,14,14,14,14,14,14,14,9,14,batch_06
9,14,14,14,14,14,9,14,14,14,14,batch_07
10,10,10,10,10,10,10,10,10,10,10,batch_08
14,14,14,14,14,14,14,14,14,14,14,batch_09
9,14,9,14,14,9,14,14,14,9,14,batch_10
9,0,9,9,0,0,0,0,0,0,9,batch_11
14,14,14,14,14,14,14,14,14,14,14,batch_12
14,14,14,14,14,14,14,14,14,14,14,batch_13
0,0,0,0,0,0,0,0,0,0,0,batch_14
10,10,10,10,10,10,10,10,10,10,10,batch_16
10,10,10,10,10,10,10,10,10,10,10,batch_17
9,9,9,9,9,9,9,9,9,9,9,user_000
15,15,15,15,15,15,15,15,15,15,15,user_001
8,8,8,8,8,8,8,8,8,8,8,user_002
22,24,22,24,22,22,24,22,24,22,24,user_003
15,15,15,15,15,15,15,15,15,15,15,user_004
8,8,8,8,8,8,8,8,8,8,8,user_005
17,17,17,17,17,17,17,17,17,17,17,user_006
15,15,15,15,15,15,15,15,15,15,15,user_007
15,15,15,15,15,15,15,15,15,15,15,user_008
20,19,18,21,20,19,18,21,20,19,18,user_009
19,18,21,20,20,20,20,20,20,19,18,user_010
15,15,15,15,15,15,15,15,15,15,15,user_011
15,15,15,15,15,15,15,15,15,15,15,user_012
15,15,15,15,15,15,15,15,15,15,15,user_013
20,19,18,21,20,19,18,21,20,19,18,user_014
15,15,15,15,15,15,15,15,15,15,15,user_015
20,19,18,21,20,19,18,21,20,19,18,user_016
20,19,18,21,20,19,18,21,5,5,5,user_017
15,15,15,15,15,15,15,15,15,15,15,user_018
15,15,15,15,15,15,15,15,15,15,15,user_019
15,15,15,15,15,15,15,15,15,15,15,user_020
20,19,18,21,20,20,19,18,21,19,18,user_021
20,19,18,21,22,23,20,19,18,21,23,user_022
17,17,17,17,17,17,17,17,17,17,17,user_023
15,15,15,15,15,15,15,15,15,15,15,user_024
22,22,22,22,22,22,22,22,22,22,22,user_025
20,19,18,21,22,23,20,19,18,21,20,user_026
8,8,8,8,8,8,8,8,8,8,8,user_027
13,13,13,13,13,13,13,13,13,13,13,user_029
14,14,14,14,14,14,14,14,14,14,14,user_030
14,14,14,14,14,14,14,14,14,14,14,user_031
14,14,14,14,14,14,14,14,14,14,14,user_032
9,9,9,9,9,9,9,9,9,9,9,user_033
14,14,14,14,14,14,14,14,14,14,14,user_034
14,14,14,14,14,14,14,14,14,14,14,user_035
9,9,9,9,9,9,9,9,9,9,9,user_036
5,5,5,5,5,5,5,5,5,5,5,user_037
9,9,9,9,9,9,9,9,9,9,9,user_038
5,5,5,5,5,5,5,5,5,5,5,user_039
9,9,9,9,9,9,9,9,9,9,9,user_040
14,14,14,14,14,14,14,14,14,14,14,user_041
9,9,9,9,9,9,9,9,9,9,9,user_042
9,9,9,9,9,9,9,9,9,9,9,user_043
14,14,14,14,14,14,14,14,14,14,14,user_044
9,9,9,9,9,9,9,9,9,9,9,user_045
14,14,14,14,14,14,14,14,14,14,14,user_046
14,14,14,14,14,14,14,14,14,14,14,user_047
14,14,14,14,14,14,14,14,14,14,14,user_048
14,14,14,14,14,14,14,14,14,14,14,user_049
14,14,14,14,14,14,14,14,14,14,14,user_050
9,9,9,9,9,9,9,9,9,9,9,user_051
9,9,9,9,9,9,9,9,9,9,9,user_052
14,14,14,14,14,14,14,14,14,14,14,user_053
9,9,9,9,9,9,9,9,9,9,9,user_054
14,14,14,14,14,14,14,14,14,14,14,user_056
9,9,9,9,9,9,9,9,9,9,9,user_057
14,14,14,14,14,14,14,14,14,14,14,user_058
9,9,9,9,9,9,9,9,9,9,9,user_059
9,9,9,9,9,9,9,9,9,9,11,user_060
14,14,14,14,14,14,14,14,14,14,14,user_061
14,14,14,14,14,14,14,14,14,14,14,user_062
9,9,9,9,9,9,6,9,9,9,13,user_063
9,9,9,9,9,9,9,9,9,9,9,user_064
0,0,14,14,14,14,14,14,14,14,14,user_065
9,9,9,9,9,9,9,9,9,9,9,user_066
14,14,14,14,14,14,14,14,14,14,14,user_067
9,9,9,9,9,9,9,9,9,9,9,user_068
