activity_1,activity_2,activity_3,activity_4,activity_5,next_activity,org:resource
0,0,0,0,0,0,-
0,0,0,2,0,0,Aaron
0,0,2,0,0,2,Abby
0,0,0,0,2,0,Abdul
0,0,0,0,0,0,Abhinav
0,0,2,0,2,0,Abhiseka
0,0,0,2,1,2,Abhishek
0,2,0,2,0,0,Achuthanandan
0,0,2,0,0,2,Adam
2,0,0,2,0,0,Adeline
0,2,0,0,1,0,Adenilson
0,0,0,0,0,0,Aditi
0,0,1,0,1,0,Adriano
0,0,0,2,0,2,Agata
0,0,0,2,0,0,Agnieszka
0,0,0,0,2,2,Agnivesh
0,0,1,0,0,1,Agoritsa
0,0,0,0,0,0,Agron
0,0,0,0,0,0,Ajay
0,0,0,0,0,2,Akanksha
0,0,0,1,0,0,Akim
0,0,1,0,0,1,Akshata
2,2,0,0,1,0,Alan
0,0,2,0,0,0,Alejandro
0,0,1,0,0,1,Aleksander
0,0,2,0,0,0,Aleksandra
0,0,2,0,1,0,Alex
0,2,0,0,0,0,Alexander
0,0,2,0,0,0,Alexandre
0,2,0,0,2,0,Alexsandra
0,1,0,1,0,1,Alf
0,2,0,0,2,0,Aline
0,1,0,0,0,0,Allak
0,0,0,0,0,0,Alok
0,2,0,2,0,2,Alvin
0,2,0,2,0,2,Amanda
0,0,2,0,2,0,Amar
0,0,0,0,0,0,Amer
0,0,0,0,0,0,Amit
0,0,2,0,0,0,Amy
0,0,1,0,0,1,Ana
0,0,0,2,0,2,Anand
2,2,2,2,2,2,Anastasia
0,0,0,2,2,0,Anatolij
0,2,0,0,0,0,Ander
2,2,0,2,2,2,Anders
0,0,0,0,0,2,Anderson
0,2,2,0,0,2,Andre
0,2,0,0,2,0,Andreas
0,2,0,2,0,0,Andrew
0,2,0,2,0,0,Andrey
0,2,2,0,0,0,Andrzej
0,0,1,0,0,1,André
0,2,0,2,0,0,Andrés
0,0,0,1,0,2,Aneesh V
2,0,0,0,0,0,Anette
0,2,0,2,2,0,Angela
0,0,2,0,0,2,Angelica
0,0,0,0,0,0,Angelo
2,0,2,0,2,0,Anil
0,0,0,0,0,0,Anish
0,0,0,0,0,0,Anjali
0,2,2,2,2,0,Anna
0,0,1,0,0,0,Anna-Lisa
2,2,2,2,2,2,Anne
0,2,0,1,2,0,Anne Claire
2,2,2,2,2,2,Anne-Marie
0,2,2,0,0,2,Anneli
0,0,0,0,0,0,Annica
0,0,0,2,2,0,Annick
2,0,0,0,0,0,Annika
0,2,0,0,2,2,Anoop
